OBJECTID,FOLIO,TRUE_SITE_ADDR,TRUE_SITE_CITY,TRUE_SITE_ZIP_CODE,DOR_CODE_CUR,DOR_DESC,CONDO_FLAG,PARENT_FOLIO,PRIMARY_ZONE,BEDROOM_COUNT,YEAR_BUILT,LOT_SIZE,BUILDING_HEATED_AREA,UNIT_COUNT,ASSESSMENT_YEAR_CUR,zip
198173,2050120050230,6365 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,7,2005,38768,7365,1,2026,33156
198174,2050120050231,6385 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1956,38768,2998,1,2026,33156
198175,2050120050232,6425 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1981,38768,5106,1,2026,33156
198176,2050120050233,6465 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1982,38768,3385,1,2026,33156
198177,2050120050240,10925 SW 65 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1987,35719,7276,1,2026,33156
198178,2050120050250,6680 SW 109 ST,Pinecrest,33156-0000,0102,RESIDENTIAL - SINGLE FAMILY : ADDITIONAL LIVING QUARTERS,N,,2300,8,2003,44968,8004,2,2026,33156
198179,2050120050251,6640 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2002,45103,9080,1,2026,33156
198180,2050120050260,6520 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2023,38332,6191,1,2026,33156
198181,2050120050270,6500 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1991,30056,6015,1,2026,33156
198182,2050120050280,10950 SW 65 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2018,40510,6658,1,2026,33156
198183,2050120060020,11450 SW 60 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1987,57063,5577,1,2026,33156
198184,2050120060030,6030 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,7,2007,40510,7993,1,2026,33156
198185,2050120060040,6050 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1999,40510,6083,1,2026,33156
198186,2050120060050,6060 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2018,40510,4805,1,2026,33156
198187,2050120060060,6110 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,2,1952,40510,2117,1,2026,33156
198188,2050120060070,6130 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1992,40510,4533,1,2026,33156
198189,2050120060080,6135 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1995,40510,4988,1,2026,33156
198190,2050120060090,6105 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2000,40510,5038,1,2026,33156
198191,2050120060100,6065 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2003,40510,6020,1,2026,33156
198192,2050120060110,6055 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2005,40510,7819,1,2026,33156
198193,2050120060120,6035 SW 116 ST,Pinecrest,33156-0000,0066,VACANT RESIDENTIAL : EXTRA FEA OTHER THAN PARKING,N,,2300,0,0,40510,0,0,2026,33156
198194,2050120060130,6001 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1952,54450,3168,1,2026,33156
198195,2050120060131,11500 SW 60 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,7,2025,43995,8895,1,2026,33156
198196,2050120060140,6250 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1952,40510,1718,1,2026,33156
198197,2050120060150,6290 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,2,1952,40510,2808,1,2026,33156
198198,2050120060160,6300 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1952,40510,2284,1,2026,33156
198199,2050120060170,6330 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2001,40510,6330,1,2026,33156
198200,2050120060180,6350 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1998,40510,4496,1,2026,33156
198201,2050120060190,6370 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1957,40510,1760,1,2026,33156
198202,2050120060200,6390 SW 114 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,7,2007,35806,5322,1,2026,33156
198203,2050120060210,6395 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1952,35719,4434,1,2026,33156
198204,2050120060220,6375 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1952,40510,2711,1,2026,33156
198205,2050120060230,6355 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2000,40510,4868,1,2026,33156
198206,2050120060240,6335 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,2,1952,40510,1870,1,2026,33156
198207,2050120060250,6301 SW 116 ST,Pinecrest,33156-0000,0802,MULTIFAMILY 2-9 UNITS : 2 LIVING UNITS,N,,2300,5,1988,40510,4598,2,2026,33156
198208,2050120060260,6295 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1998,40510,3730,1,2026,33156
198209,2050120060270,6255 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1988,40510,4045,1,2026,33156
198210,2050120060280,6401 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1958,36154,3770,1,2026,33156
198211,2050120060290,6421 SW 116 ST,Pinecrest,33156-0000,0081,VACANT RESIDENTIAL : VACANT LAND,N,,2300,5,9999,40510,0,1,2026,33156
198212,2050120060300,6435 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1953,40510,5842,1,2026,33156
198213,2050120060310,6465 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1953,40510,3385,1,2026,33156
198214,2050120060320,6495 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1952,40510,3510,1,2026,33156
198215,2050120060330,6501 SW 116 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2005,40510,5848,1,2026,33156
